Title,Audience_Score,Audience_Rating,Audience_Count,Critic_Score,Critic_Rating,Release_Date
Toy Story 4,94,4.6,53146,97,8.37,"Jun 21, 2019"
Toy Story 3,89,4.37,607395,98,8.87,"Jun 18, 2010"
Toy Story 2,86,4.17,1000366,100,8.68,"Nov 24, 1999"
Toy Story,92,3.75,1109209,100,9.01,"Nov 22, 1995"
A Bug's Life,73,3.74,982434,92,7.9,"Nov 20, 1998"
Toy Story 2,86,4.17,1000366,100,8.68,"Nov 24, 1999"
"Monsters, Inc.",90,3.8,1254638,96,8.03,"Nov 2, 2001"
Finding Nemo,86,3.81,33356856,99,8.69,"May 30, 2003"
Finding Dory,84,4.08,181892,94,7.65,"Jun 17, 2016"
The Incredibles,75,3.44,32604129,97,8.35,"Nov 5, 2004"
Incredibles 2,84,4.08,18257,94,7.85,"Jun 15, 2018"
Homeward Bound - The Incredible Journey,71,3.75,266877,87,6.64,"Feb 3, 1993"
The Incredible Journey,77,3.88,524,89,7.31,"Oct 30, 1963"
Cars 3,69,3.69,27288,70,6.12,"Jun 16, 2017"
Cars 2,49,3.24,103616,39,5.48,"Jun 24, 2011"
Cars,79,3.96,878081,75,6.91,"Jun 9, 2006"
Gone in 60 Seconds (Gone in Sixty Seconds),77,3.9,955275,25,4.42,"Jun 9, 2000"
Ratatouille,87,4.13,1072234,96,8.47,"Jun 29, 2007"
WALL-E,90,4.3,598184,95,8.54,"Jun 27, 2008"
Summer Magic,76,3.87,4524,,7.0,"Jul 7, 1963"
A Question of Faith,40,2.9,270,67,6.12,"Apr 1, 2001"
Treasure Buddies,54,3.35,261,,6.0,
Disney's Little Einsteins - Team Up For Adventure,,,,,7.0,
Step Up 3,64,3.65,100545,47,5.08,"Aug 6, 2010"
Up,90,4.29,1203887,98,8.71,"May 29, 2009"
Step Up 2 the Streets,76,3.98,190903,27,4.94,"Feb 14, 2008"
Toy Story 3,89,4.37,607395,98,8.87,"Jun 18, 2010"
Cars 2,49,3.24,103616,39,5.48,"Jun 24, 2011"
Dumbo,48,3.2,4383,47,5.55,"Mar 29, 2019"
Incredibles 2,84,4.08,18257,94,7.85,"Jun 15, 2018"
Roving Mars,79,3.71,920,71,6.73,"Jan 27, 2006"
Brave,76,3.85,279240,78,6.95,"Jun 22, 2012"
Brave Little Toaster to the Rescue,46,3.22,4637,40,4.1,"May 25, 1999"
The Brave Little Tailor (das Tapfere Schneiderlein),,,,,0.0,"Jan 1, 1998"
A Wrinkle in Time,26,2.17,8757,42,5.28,"Mar 9, 2018"
Monsters University,81,3.98,305421,80,6.81,"Jun 21, 2013"
Inside Out,89,4.29,136631,98,8.93,"Jun 19, 2015"
The Good Dinosaur,65,3.58,58940,76,6.59,"Nov 25, 2015"
Finding Dory,84,4.08,181892,94,7.65,"Jun 17, 2016"
Cars 3,69,3.69,27288,70,6.12,"Jun 16, 2017"
Incredibles 2,84,4.08,18257,94,7.85,"Jun 15, 2018"
Toy Story 3,89,4.37,607395,98,8.87,"Jun 18, 2010"
Coco,94,4.5,27610,97,8.3,"Nov 22, 2017"
The Great Locomotive Chase,53,3.46,1148,,5.33,"Jun 8, 1956"
Incredibles 2,84,4.08,18257,94,7.85,"Jun 15, 2018"
Homeward Bound - The Incredible Journey,71,3.75,266877,87,6.64,"Feb 3, 1993"
The Incredible Journey,77,3.88,524,89,7.31,"Oct 30, 1963"
Toy Story 4,94,4.6,53146,97,8.37,"Jun 21, 2019"
Onward,95,4.61,8597,88,7.17,"Mar 6, 2020"
